Volumenindex des Auftragseingangs, Tiefbau
Datum;Originalwert, 2021=100;Originalwert, Veränderung gegenüber Vorjahresmonat in %;Trend-Konjunktur-Komponente (BV 4.1), 2021=100;Trend-Konjunktur-Komponente (BV 4.1), Veränderung gegenüber Vormonat in %;Kalender- und saisonbereinigte Werte (BV 4.1), 2021=100;Kalender- und saisonbereinigte Werte (BV 4.1), Veränderung gegenüber Vormonat in %;Restkomponente (BV 4.1)
01/10/2023;103,7;8,9;101,5;0,2;103,4;-0,3;2,0
01/11/2023;83,0;-5,9;101,7;0,3;93,8;-9,3;-7,9
01/12/2023;100,2;6,7;102,0;0,3;103,3;10,2;1,3
01/01/2024;83,3;11,1;102,5;0,5;100,6;-2,7;-2,0
01/02/2024;95,9;5,0;102,9;0,4;105,4;4,8;2,5
01/03/2024;115,3;3,5;103,4;0,4;105,2;-0,1;1,9
01/04/2024;112,4;14,7;103,6;0,2;106,3;1,0;2,7
01/05/2024;102,1;-2,9;103,8;0,2;98,5;-7,4;-5,3
01/06/2024;114,8;8,7;104,1;0,3;107,2;8,8;3,1
01/07/2024;110,9;-0,7;104,5;0,4;100,9;-5,9;-3,6
01/08/2024;110,8;-11,1;104,7;0,2;108,3;7,4;3,6
01/09/2024;99,2;-4,8;105,1;0,4;99,4;-8,3;-5,7
01/10/2024;104,5;0,8;105,4;0,3;105,2;5,8;-0,3
01/11/2024;106,3;28,1;105,8;0,3;111,5;6,1;5,7
01/12/2024;100,0;-0,2;106,2;0,3;105,6;-5,3;-0,6
01/01/2025;92,7;11,3;106,2;0,1;110,1;4,3;3,9
01/02/2025;87,3;-9,0;106,6;0,3;101,2;-8,1;-5,3
