datum,originalwert_messzahlen_2015100,originalwert_vernderung_gegenber_vorjahresmonat_in_,trendkonjunkturkomponente_bv_41_messzahlen_2015100,trendkonjunkturkomponente_bv_41_vernderung_gegenber_vormonat_in_,kalender_und_saisonbereinigte_werte_bv_41_messzahlen_2015100,kalender_und_saisonbereinigte_werte_bv_41_vernderung_gegenber_vormonat_in_,restkomponente_bv_41
01/04/2024,140.2,4.9,139.8,0.2,139.9,-0.1,0.2
01/05/2024,141.0,0.0,140.1,0.3,139.4,-0.4,-0.7
01/06/2024,136.5,-2.8,140.5,0.3,137.7,-1.2,-2.8
01/07/2024,142.2,3.7,141.0,0.4,140.9,2.3,-0.1
01/08/2024,138.6,3.4,141.6,0.4,142.9,1.4,1.2
01/09/2024,136.2,1.6,142.2,0.4,140.9,-1.4,-1.3
01/10/2024,147.6,6.2,142.7,0.3,144.5,2.5,1.8
01/11/2024,155.5,4.4,143.1,0.3,144.8,0.2,1.7
01/12/2024,157.6,3.1,143.4,0.2,143.3,-1.0,-0.1
01/01/2025,134.1,5.1,143.9,0.3,144.8,1.0,0.9
